title,year,country_1,country_2,country_3,language,duration,genre_1,genre_2,genre_3,production_company,director,description,actor_1,listing_1,actor_2,listing_2,actor_3,listing_3,budget_USD,usa_gross_income,worlwide_gross_income,avg_user_rating,votes,reviews_from_users,metascore,reviews_from_critics,male_avg_rating,male_votes,female_avg_rating,female_votes,avg_rating_<18yrs,votes_<18yrs,avg_rating_18-30yrs,votes_18-30yrs,avg_rating_30-45yrs,votes_30-45yrs,avg_rating_>45yrs,votes_>45yrs,positive_votes,neutral_votes,negative_votes,percentage_of_positive_reviews,overall_eval
Cliffhanger,1993,USA, Italy, France,English,113,Action, Adventure, Thriller,Carolco Pictures,Renny Harlin,A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.,Sylvester Stallone,A,John Lithgow,D,Michael Rooker,C,70000000.0,84049211.0,255000211.0,6.4,113487,188.0,60.0,94.0,6.4,83996.0,6.2,6361.0,7.2,25.0,6.5,10585.0,6.4,59361.0,6.4,17863.0,58006,50428,5053,0.51,0
Free Willy,1993,USA, France, Mexico,English,112,Adventure, Drama, Family,Warner Bros.,Simon Wincer,"When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale.",Jason James Richter,D,Lori Petty,D,Jayne Atkinson,D,20000000.0,77698625.0,153698625.0,5.9,64262,72.0,79.0,26.0,5.8,38140.0,6.4,13668.0,6.1,41.0,6.1,14520.0,5.9,30883.0,5.7,4827.0,24176,35432,4654,0.38,0
Il postino,1994,Italy, France, Belgium,"Italian, Spanish",108,Biography, Comedy, Drama,Cecchi Gori Group Tiger Cinematografica,"Michael Radford, Massimo Troisi",Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,Philippe Noiret,D,Massimo Troisi,D,Maria Grazia Cucinotta,D,3000000.0,21848932.0,21898920.0,7.7,31196,115.0,81.0,43.0,7.7,18734.0,7.8,4334.0,6.5,5.0,7.7,3106.0,7.7,11656.0,7.8,7896.0,26687,3653,856,0.86,1
Timecop,1994,Canada, USA, Japan,English,99,Action, Crime, Sci-Fi,Largo Entertainment,Peter Hyams,"Max Walker, an officer for a security agency that regulates time travel, must fend for his life against a shady politician who's intent on changing the past to control the future.",Jean-Claude Van Damme,D,Mia Sara,D,Ron Silver,D,27000000.0,44853581.0,101646581.0,5.9,52636,143.0,48.0,85.0,5.9,39782.0,5.9,2848.0,3.8,4.0,5.9,3788.0,5.8,29002.0,6.0,8902.0,18984,29462,4190,0.36,0
The Hudsucker Proxy,1994,UK, Germany, USA,"English, Finnish",111,Comedy, Drama, Fantasy,PolyGram Filmed Entertainment,"Joel Coen, Ethan Coen",A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,Tim Robbins,D,Jennifer Jason Leigh,D,Paul Newman,B,40000000.0,2816518.0,2816518.0,7.2,73730,224.0,53.0,95.0,7.2,51754.0,7.2,6219.0,7.0,11.0,7.2,7097.0,7.3,35079.0,7.1,14991.0,57298,14592,1840,0.78,1
Mighty Morphin Power Rangers: The Movie,1995,USA, Japan, Australia,English,95,Action, Adventure, Family,Twentieth Century Fox,Bryan Spicer,"A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a distant planet to find the mystic warrior Dulcea.",Karan Ashley,D,Johnny Yong Bosch,D,Steve Cardenas,D,15000000.0,38187431.0,66433194.0,5.2,23918,137.0,40.0,81.0,5.1,16958.0,5.7,2310.0,5.0,13.0,5.9,5615.0,4.8,11782.0,3.9,1265.0,8796,9512,5610,0.37,0
To Die For,1995,USA, UK, Canada,English,106,Comedy, Crime, Drama,Columbia Pictures,Gus Van Sant,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,Nicole Kidman,A,Matt Dillon,D,Joaquin Phoenix,B,20000000.0,21284514.0,21284514.0,6.8,41030,169.0,86.0,62.0,6.8,24668.0,6.9,7060.0,5.5,5.0,7.1,3860.0,6.7,17510.0,6.8,9943.0,26158,13153,1719,0.64,1
Total Eclipse,1995,UK, France, Belgium,English,111,Biography, Drama, Romance,FIT Productions,Agnieszka Holland,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.",Leonardo DiCaprio,A,David Thewlis,D,Romane Bohringer,D,8000000.0,340139.0,340139.0,6.6,12554,82.0,42.0,25.0,6.4,5811.0,6.8,4001.0,7.8,8.0,6.8,2486.0,6.5,5097.0,6.5,1993.0,7405,4275,874,0.59,0
Dead Man,1995,USA, Germany, Japan,"English, Cree",121,Drama, Fantasy, Western,Pandora Filmproduktion,Jim Jarmusch,"On the run after murdering a man, accountant William Blake encounters a strange Native American man named Nobody who prepares him for his journey into the spiritual world.",Johnny Depp,A,Gary Farmer,D,Crispin Glover,D,9000000.0,1037847.0,1037847.0,7.6,85309,334.0,62.0,117.0,7.6,57175.0,7.6,11355.0,7.3,22.0,7.6,13618.0,7.6,41009.0,7.5,12815.0,69309,13140,2860,0.81,1
Michael Collins,1996,UK, Ireland, USA,English,133,Biography, Drama, Thriller,Warner Bros.,Neil Jordan,Neil Jordan's historical biopic of Irish revolutionary,Ian Hart,D,Julia Roberts,A,Richard Ingram,D,25000000.0,11092559.0,11135803.0,7.2,28051,96.0,60.0,41.0,7.2,18610.0,7.1,3301.0,7.4,6.0,7.4,2965.0,7.1,11807.0,7.1,6666.0,21511,5927,613,0.77,1
Stealing Beauty,1996,Italy, France, UK,"English, French, German, Spanish, Italian",118,Drama, Mystery, Romance,Fiction,Bernardo Bertolucci,"After her mother commits suicide, a young woman travels to Italy in search of love, truth and a deeper connection with herself.",Carlo Cecchi,D,Sinéad Cusack,D,Joseph Fiennes,D,10000000.0,4722310.0,4762310.0,6.6,24324,88.0,60.0,38.0,6.5,12681.0,6.9,6453.0,7.9,7.0,6.8,2955.0,6.6,11105.0,6.4,4755.0,14378,8703,1243,0.59,0
Kundun,1997,USA, Monaco, Morocco,"English, Tibetan, Mandarin",134,Biography, Drama, History,De Fina-Cappa,Martin Scorsese,"From childhood to adulthood, Tibet's fourteenth Dalai Lama deals with Chinese oppression and other problems.",Tenzin Thuthob Tsarong,D,Gyurme Tethong,D,Tulku Jamyang Kunga Tenzin,D,28000000.0,5684789.0,5684789.0,7.0,24647,125.0,74.0,72.0,7.0,16917.0,7.2,2612.0,7.0,2.0,7.1,2487.0,7.0,11505.0,7.0,5229.0,17645,6083,919,0.72,1
The Jackal,1997,USA, UK, France,"English, Russian",124,Action, Crime, Drama,Universal Pictures,Michael Caton-Jones,"An imprisoned I.R.A. fighter is freed to help stop a brutal, seemingly ""faceless"" assassin from completing his next job.",Bruce Willis,A,Richard Gere,A,Sidney Poitier,D,60000000.0,54930280.0,159330280.0,6.4,101117,232.0,36.0,87.0,6.4,75081.0,6.4,6560.0,6.8,12.0,6.5,9976.0,6.4,54260.0,6.3,15525.0,50854,45022,5241,0.5,0
The Relic,1997,UK, USA, Japan,English,110,Horror, Mystery, Sci-Fi,British Broadcasting Corporation (BBC),Peter Hyams,"A homicide detective and an anthropologist try to destroy a South American lizard-like god, who's on a people eating rampage in a Chicago museum.",Penelope Ann Miller,D,Tom Sizemore,D,Linda Hunt,D,40000000.0,33956608.0,33956608.0,5.8,23064,182.0,55.0,106.0,5.8,15805.0,5.8,1809.0,6.0,6.0,5.7,1203.0,5.7,10879.0,5.9,5209.0,7961,12521,2582,0.35,0
Jing Ke ci Qin Wang,1998,China, Japan, France,Mandarin,162,Drama, History, Romance,Shin Corporation,Kaige Chen,"In pre-unified China, the King of Qin sends his concubine to a rival kingdom to produce an assassin for a political plot, but as the king's cruelty mounts she finds her loyalty faltering.",Li Gong,D,Fengyi Zhang,D,Zhou Sun,D,15000000.0,1267239.0,1267239.0,7.2,5702,58.0,75.0,57.0,7.3,3586.0,7.0,591.0,6.5,2.0,7.3,222.0,7.2,2334.0,7.2,1587.0,4422,1051,229,0.78,1
Apt Pupil,1998,USA, France, Canada,"English, German",111,Crime, Drama, Thriller,Phoenix Pictures,Bryan Singer,A boy blackmails his neighbor after suspecting him to be a Nazi war criminal.,Brad Renfro,D,Ian McKellen,A,Joshua Jackson,D,14000000.0,8863193.0,8863193.0,6.7,33877,258.0,51.0,128.0,6.7,23011.0,6.8,3597.0,7.0,6.0,6.9,2707.0,6.8,17344.0,6.6,6152.0,20980,11541,1356,0.62,1
The Mask of Zorro,1998,USA, Germany, Mexico,English,136,Action, Adventure, Comedy,TriStar Pictures,Martin Campbell,"A young thief (Antonio Banderas), seeking revenge for the death of his brother, is trained by the once great, but aged Zorro (Sir Anthony Hopkins), who also pursues vengeance of his own.",José María de Tavira,D,Diego Sieres,D,Emiliano Guerra,D,95000000.0,94095523.0,250288523.0,6.7,159375,329.0,63.0,160.0,6.7,103372.0,6.9,23988.0,6.9,35.0,6.9,33985.0,6.6,71183.0,6.7,18685.0,100834,54463,4078,0.63,1
Double Jeopardy,1999,USA, Germany, Canada,English,105,Crime, Drama, Mystery,Paramount Pictures,Bruce Beresford,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him.",Tommy Lee Jones,A,Ashley Judd,D,Benjamin Weir,D,70000000.0,116741558.0,177841558.0,6.5,67533,353.0,40.0,131.0,6.4,40495.0,7.0,11872.0,7.0,10.0,6.6,5810.0,6.4,31427.0,6.6,13768.0,35006,29264,3263,0.52,0
eXistenZ,1999,UK, France, Canada,English,97,Horror, Sci-Fi, Thriller,Dimension Films,David Cronenberg,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,Jennifer Jason Leigh,D,Jude Law,A,Ian Holm,D,15000000.0,2856712.0,2856712.0,6.8,89035,546.0,68.0,196.0,6.8,62435.0,6.7,8415.0,6.9,11.0,6.9,9355.0,6.8,45911.0,6.7,14637.0,57860,25645,5530,0.65,1
