title,year,country_1,country_2,country_3,language,duration,genre_1,genre_2,genre_3,production_company,director,description,actor_1,listing_1,actor_2,listing_2,actor_3,listing_3,budget_USD,usa_gross_income,worlwide_gross_income,avg_user_rating,votes,reviews_from_users,metascore,reviews_from_critics,male_avg_rating,male_votes,female_avg_rating,female_votes,avg_rating_<18yrs,votes_<18yrs,avg_rating_18-30yrs,votes_18-30yrs,avg_rating_30-45yrs,votes_30-45yrs,avg_rating_>45yrs,votes_>45yrs,positive_votes,neutral_votes,negative_votes,percentage_of_positive_reviews,overall_eval
Tinker Tailor Soldier Spy,2011,France, UK, Germany,"English, Russian, Hungarian, French, Turkish",122,Drama, Mystery, Thriller,StudioCanal,Tomas Alfredson,"In the bleak days of the Cold War, espionage veteran George Smiley (Gary Oldman) is forced from semi-retirement to uncover a Soviet Agent within MI6.",Mark Strong,C,John Hurt,D,Zoltán Mucsi,D,25200000.0,24149393.0,80630608.0,7.1,177506,574.0,85.0,488.0,7.0,128506.0,7.0,23162.0,6.9,28.0,7.2,40267.0,7.0,82886.0,7.0,24301.0,125236,44053,8217,0.71,1
Midnight in Paris,2011,Spain, USA, France,"English, French, Spanish, German",94,Comedy, Fantasy, Romance,Mediapro,Woody Allen,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight.",Owen Wilson,A,Rachel McAdams,A,Kurt Fuller,D,17000000.0,56817045.0,151119219.0,7.7,363421,579.0,81.0,517.0,7.7,213077.0,7.6,88050.0,8.1,148.0,7.8,109289.0,7.5,149934.0,7.5,31492.0,302612,52711,8098,0.83,1
Johnny English Reborn,2011,USA, France, UK,"English, Mandarin, Swiss German, Cantonese, Russian",101,Action, Adventure, Comedy,Universal Pictures,Oliver Parker,Johnny English goes up against international assassins hunting down the Chinese premier.,Roger Barclay,D,Eric Carte,D,Rowan Atkinson,A,45000000.0,8305970.0,160078586.0,6.3,113359,177.0,46.0,157.0,6.3,83748.0,6.3,11355.0,6.8,194.0,6.5,42358.0,6.1,40829.0,6.1,8446.0,58184,49306,5869,0.51,0
Rise of the Planet of the Apes,2011,USA, UK, Canada,"English, Sign Languages",105,Action, Drama, Sci-Fi,Twentieth Century Fox,Rupert Wyatt,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,Andy Serkis,A,Karin Konoval,D,Terry Notary,A,93000000.0,176760185.0,481800873.0,7.6,479057,693.0,68.0,553.0,7.6,344437.0,7.5,51232.0,7.7,364.0,7.6,134816.0,7.5,200706.0,7.4,41491.0,406825,65016,7216,0.85,1
The Smurfs,2011,USA, Belgium, Canada,English,103,Animation, Adventure, Comedy,Columbia Pictures,Raja Gosnell,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City.",Hank Azaria,D,Neil Patrick Harris,D,Jayma Mays,D,110000000.0,142614158.0,563749323.0,5.4,79044,163.0,30.0,180.0,5.3,48918.0,5.9,17027.0,5.0,190.0,5.6,25987.0,5.4,31232.0,5.3,6257.0,26860,40404,11780,0.34,0
The Ledge,2011,USA, Germany, Saudi Arabia,English,101,Drama, Romance, Thriller,Foresight Unlimited,Matthew Chapman,"A police officer looks to talk down a young man lured by his lover's husband to the ledge of a high rise, where he has one hour to contemplate a fateful decision.",Charlie Hunnam,C,Terrence Howard,C,Liv Tyler,D,10000000.0,9216.0,610986.0,6.5,17989,95.0,34.0,57.0,6.5,11978.0,6.7,3967.0,7.0,2.0,6.7,3028.0,6.5,9327.0,6.6,3255.0,10713,6017,1259,0.6,1
Gnomeo & Juliet,2011,UK, USA, Canada,"English, Japanese, Spanish, German",84,Animation, Adventure, Comedy,Touchstone Pictures,Kelly Asbury,"Separated by a garden fence and a feud, are blue gnomes on one side and red gnomes on the other. This doesn't stop blue Gnomeo and red Juliet from falling in love with each other. Do they have a future together?",James McAvoy,A,Emily Blunt,A,Ashley Jensen,D,36000000.0,99967670.0,193967670.0,5.9,50253,126.0,53.0,206.0,5.8,26781.0,6.3,15192.0,5.1,102.0,6.0,14900.0,5.9,20430.0,6.0,5143.0,20821,24749,4683,0.41,0
The Three Musketeers,2011,USA, Germany, France,English,110,Action, Adventure, History,Summit Entertainment,Paul W.S. Anderson,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,Matthew Macfadyen,D,Milla Jovovich,B,Helen George,D,75000000.0,20374484.0,132274484.0,5.7,99462,284.0,35.0,233.0,5.7,65411.0,6.1,20733.0,6.0,42.0,6.0,29473.0,5.6,44355.0,5.7,9933.0,38394,49024,12044,0.39,0
A Dangerous Method,2011,UK, Germany, Canada,English,99,Biography, Drama, Romance,Recorded Picture Company (RPC),David Cronenberg,A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis.,Keira Knightley,A,Viggo Mortensen,A,Michael Fassbender,A,16500000.000000002,5704709.0,27462041.0,6.4,94530,201.0,76.0,358.0,6.5,55749.0,6.4,26424.0,5.5,11.0,6.6,23987.0,6.4,45752.0,6.4,10734.0,49935,40369,4226,0.53,0
The Artist,2011,France, Belgium, USA,"English, French",100,Comedy, Drama, Romance,Studio 37,Michel Hazanavicius,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,Jean Dujardin,D,Bérénice Bejo,D,John Goodman,A,15000000.0,44671682.0,133432856.0,7.9,219842,636.0,89.0,584.0,7.9,142799.0,8.1,43284.0,8.0,80.0,8.0,61022.0,7.9,94535.0,7.7,24821.0,188517,24375,6950,0.86,1
Fast Five,2011,USA, Brazil, Japan,"English, Portuguese, Spanish, Italian, French",130,Action, Adventure, Thriller,Universal Pictures,Justin Lin,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,Vin Diesel,A,Paul Walker,A,Jordana Brewster,B,125000000.0,209837675.0,626137675.0,7.3,335984,410.0,66.0,365.0,7.2,243501.0,7.6,34319.0,7.7,379.0,7.5,114918.0,7.1,130927.0,6.9,18805.0,262894,62770,10320,0.78,1
The Girl with the Dragon Tattoo,2011,USA, Sweden, Norway,"English, Swedish",158,Crime, Drama, Mystery,Columbia Pictures,David Fincher,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",Daniel Craig,A,Rooney Mara,D,Christopher Plummer,D,90000000.0,102515793.0,232617430.0,7.8,395354,690.0,71.0,531.0,7.8,261749.0,7.8,67993.0,7.9,130.0,7.9,112199.0,7.7,167776.0,7.7,36882.0,348307,39905,7142,0.88,1
The Best Exotic Marigold Hotel,2011,UK, USA, United Arab Emirates,"English, Hindi",124,Comedy, Drama, Romance,Blueprint Pictures,John Madden,"British retirees travel to India to take up residence in what they believe is a newly restored hotel. Less luxurious than advertised, the Marigold Hotel nevertheless slowly begins to charm in unexpected ways.",Judi Dench,B,Tom Wilkinson,B,Patrick Pearson,D,10000000.0,46412041.0,136836156.0,7.2,86945,286.0,62.0,265.0,7.1,47488.0,7.5,25898.0,7.1,17.0,7.3,15908.0,7.2,36372.0,7.4,18330.0,68767,16702,1476,0.79,1
Hop,2011,USA, India, Malaysia,"English, Chinese, Spanish, French, Ukrainian",95,Animation, Adventure, Comedy,Universal Pictures,Tim Hill,"E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car.",James Marsden,D,Russell Brand,C,Kaley Cuoco,D,63000000.0,108085305.0,183953723.0,5.4,29400,96.0,41.0,142.0,5.2,17071.0,5.9,7510.0,4.4,74.0,5.5,8884.0,5.3,11517.0,5.5,3209.0,9406,15541,4453,0.32,0
Unknown,2011,UK, Germany, France,"English, German, Turkish, Arabic",113,Action, Mystery, Thriller,Dark Castle Entertainment,Jaume Collet-Serra,"A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.",Liam Neeson,A,Diane Kruger,C,January Jones,D,30000000.0,63686397.0,130786397.0,6.8,238128,364.0,56.0,357.0,6.8,176198.0,6.9,28316.0,6.6,60.0,7.0,63038.0,6.8,111707.0,6.9,23436.0,163057,70721,4350,0.68,1
Attack the Block,2011,UK, France, USA,English,88,Action, Comedy, Sci-Fi,Screen Gems,Joe Cornish,A teen gang in South London defend their block from an alien invasion.,Jodie Whittaker,D,John Boyega,A,Alex Esmail,D,13000000.0,1024175.0,5824175.0,6.6,95197,333.0,75.0,409.0,6.6,73529.0,6.8,9258.0,7.2,36.0,6.8,22082.0,6.6,47543.0,6.4,11208.0,57827,31192,6178,0.61,1
The Rite,2011,USA, Hungary, Italy,"English, Welsh, Italian, Latin, Russian, Hungarian",114,Drama, Horror, Mystery,New Line Cinema,Mikael Håfström,American seminary student Michael Kovak (Colin O'Donaghue) travels to Italy to take an exorcism course.,Anthony Hopkins,A,Colin O'Donoghue,D,Alice Braga,D,37000000.0,33047633.0,96047633.0,6.0,86973,213.0,38.0,269.0,6.0,59941.0,6.1,16266.0,6.0,13.0,6.1,21180.0,6.0,43874.0,5.9,9497.0,36665,44188,6120,0.42,0
Mission: Impossible - Ghost Protocol,2011,USA, United Arab Emirates, Czech Republic,"English, Russian, French, Arabic, Swedish",132,Action, Adventure, Thriller,Paramount Pictures,Brad Bird,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",Tom Cruise,A,Paula Patton,B,Simon Pegg,A,145000000.0,209397903.0,694713380.0,7.4,435463,556.0,73.0,453.0,7.4,315005.0,7.3,41818.0,7.8,354.0,7.5,121747.0,7.3,179166.0,7.3,38108.0,355392,72341,7730,0.82,1
Hanna,2011,USA, UK, Germany,"English, French, German, Italian, Arabic, Spanish",111,Action, Drama, Thriller,Focus Features,Joe Wright,"A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.",Saoirse Ronan,D,Eric Bana,C,Vicky Krieps,D,30000000.0,40259119.0,63782078.0,6.8,181458,483.0,65.0,425.0,6.8,127361.0,6.9,30818.0,7.2,34.0,6.8,39472.0,6.8,91765.0,6.8,23501.0,116366,57671,7421,0.64,1
The Adventures of Tintin,2011,USA, New Zealand, UK,English,107,Animation, Action, Adventure,Columbia Pictures,Steven Spielberg,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,Jamie Bell,D,Andy Serkis,A,Daniel Craig,A,135000000.0,77591831.0,373993951.0,7.3,205575,471.0,68.0,452.0,7.4,150182.0,7.3,23979.0,7.7,250.0,7.5,57700.0,7.3,91362.0,7.2,19787.0,164238,37204,4133,0.8,1
Hugo,2011,UK, USA, France,English,126,Drama, Family, Fantasy,Paramount Pictures,Martin Scorsese,"In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton.",Ben Kingsley,A,Sacha Baron Cohen,A,Asa Butterfield,D,150000000.0,73864507.0,185770160.0,7.5,289099,725.0,83.0,700.0,7.5,193076.0,7.6,51324.0,7.6,260.0,7.7,85225.0,7.4,122285.0,7.5,29403.0,232318,48861,7920,0.8,1
Immortals,2011,USA, Canada, UK,"English, Greek",110,Action, Drama, Fantasy,Relativity Media,Tarsem Singh,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",Henry Cavill,A,Mickey Rourke,B,Stephen Dorff,D,75000000.0,83504017.0,226904017.0,6.0,154835,419.0,46.0,286.0,6.0,114848.0,6.2,20493.0,6.4,17.0,6.1,40704.0,6.0,76500.0,6.0,14541.0,69190,71019,14626,0.45,0
Ernest et Célestine,2012,France, Belgium, Luxembourg,"French, English",80,Animation, Adventure, Comedy,La Parti Productions,"Stéphane Aubier, Vincent Patar","The story of an unlikely friendship between a bear, Ernest, and a young mouse named Celestine.",Forest Whitaker,B,Lambert Wilson,D,Pauline Brunner,D,10560000.0,262075.0,5075362.0,7.9,16439,45.0,86.0,103.0,7.8,10416.0,8.1,3365.0,7.7,21.0,8.0,4813.0,7.8,7007.0,7.6,1520.0,14751,1490,198,0.9,1
The Raven,2012,USA, Spain, Hungary,English,110,Crime, Mystery, Thriller,Intrepid Pictures,James McTeigue,When a madman begins committing horrific murders inspired by,John Cusack,A,Luke Evans,B,Alice Eve,D,26000000.0,16008272.0,29657751.0,6.4,80301,218.0,44.0,270.0,6.4,55467.0,6.6,15314.0,7.1,9.0,6.7,19321.0,6.3,39611.0,6.3,9920.0,43039,33816,3446,0.54,0
Contraband,2012,USA, UK, France,"English, Spanish",109,Action, Crime, Drama,Universal Pictures,Baltasar Kormákur,"To protect his brother-in-law from a drug lord, a former smuggler heads to Panama to score millions of dollars in counterfeit bills.",Robert Wahlberg,D,Caleb Landry Jones,D,Jason Mitchell,D,25000000.0,66528000.0,96262212.0,6.5,112743,175.0,51.0,269.0,6.4,87140.0,6.5,10299.0,5.9,12.0,6.6,25333.0,6.4,55012.0,6.4,13196.0,60953,48341,3449,0.54,0
To Rome with Love,2012,USA, Italy, Spain,"English, Italian",112,Comedy, Music, Romance,Medusa Film,Woody Allen,"The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into.",Pierluigi Marchionne,D,Flavio Parenti,D,Alison Pill,D,18700000.0,16685867.0,73244881.0,6.3,80544,177.0,54.0,283.0,6.3,46995.0,6.3,21127.0,5.3,8.0,6.4,19877.0,6.3,36743.0,6.3,9388.0,40466,35541,4537,0.5,0
Life of Pi,2012,USA, Taiwan, UK,"Arabic, English, Tamil, French, Japanese, Hindi, Chinese",127,Adventure, Drama, Fantasy,Fox 2000 Pictures,Ang Lee,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Suraj Sharma,D,Irrfan Khan,D,Ayush Tandon,D,120000000.0,124987023.0,609016565.0,7.9,547296,841.0,79.0,562.0,7.9,341773.0,8.0,91819.0,8.0,550.0,8.0,164268.0,7.9,200559.0,7.8,41099.0,476402,59908,10986,0.87,1
Byzantium,2012,UK, USA, Ireland,English,118,Drama, Fantasy, Horror,Demarest Films,Neil Jordan,"Residents of a coastal town learn, with deathly consequences, the secret shared by the two mysterious women who have sought shelter at a local resort.",Saoirse Ronan,D,Barry Cassin,D,Gemma Arterton,D,10080000.0,89237.0,828284.0,6.5,38998,128.0,66.0,255.0,6.5,25038.0,6.7,8482.0,7.8,4.0,6.7,7360.0,6.4,18584.0,6.6,6571.0,22316,14678,2004,0.57,0
Resident Evil: Retribution,2012,Germany, Canada, USA,"English, American Sign Language",95,Action, Horror, Sci-Fi,Constantin Film International,Paul W.S. Anderson,Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.,Milla Jovovich,B,Sienna Guillory,D,Michelle Rodriguez,A,65000000.0,42345531.0,240159255.0,5.4,127105,439.0,39.0,253.0,5.3,92974.0,5.9,13915.0,6.1,43.0,5.6,34257.0,5.2,57202.0,5.4,10867.0,41854,63740,21511,0.33,0
Kon-Tiki,2012,UK, Norway, Denmark,"Norwegian, English, French, Swedish",118,Biography, Drama, History,Recorded Picture Company (RPC),"Joachim Rønning, Espen Sandberg","Legendary explorer Thor Heyerdal's epic 4,300-mile crossing of the Pacific on a balsawood raft in 1947, in an effort to prove that it was possible for South Americans to settle in Polynesia in pre-Columbian times.",Pål Sverre Hagen,D,Anders Baasmo Christiansen,D,Tobias Santelmann,D,16600000.0,1517410.0,22842887.0,7.2,42705,77.0,62.0,154.0,7.2,31445.0,7.3,5538.0,7.2,27.0,7.3,9524.0,7.2,20815.0,7.1,5330.0,33159,8785,761,0.78,1
The Woman in Black,2012,UK, Canada, Sweden,English,95,Drama, Fantasy, Horror,Cross Creek Pictures,James Watkins,A young solicitor travels to a remote village where he discovers the vengeful ghost of a scorned woman is terrorizing the locals.,Emma Shorey,D,Molly Harmon,D,Ellisa Walker-Reid,D,17000000.0,54333290.0,127730736.0,6.4,167833,548.0,62.0,469.0,6.4,99640.0,6.4,38902.0,6.3,94.0,6.5,52124.0,6.3,65277.0,6.4,15551.0,91301,67498,9034,0.54,0
Cloud Atlas,2012,Germany, USA, Hong Kong,"English, Spanish, Ukrainian",172,Action, Drama, Mystery,Cloud Atlas Productions,"Tom Tykwer, Lana Wachowski","An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.",Tom Hanks,A,Halle Berry,B,Jim Broadbent,D,102000000.0,27108272.0,130482868.0,7.4,331041,938.0,55.0,515.0,7.4,226048.0,7.5,50537.0,7.7,67.0,7.7,87089.0,7.4,144645.0,7.1,32030.0,254232,61101,15708,0.77,1
Dredd,2012,UK, South Africa, USA,English,95,Action, Crime, Sci-Fi,DNA Films,Pete Travis,"In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.",Karl Urban,B,Rachel Wood,D,Andile Mngadi,D,50000000.0,13414714.0,35626525.0,7.1,238777,673.0,60.0,467.0,7.1,185345.0,6.8,15247.0,7.1,63.0,7.2,52240.0,7.0,114806.0,6.9,24023.0,172837,57673,8267,0.72,1
Dark Shadows,2012,USA, Australia, UK,English,113,Comedy, Fantasy, Horror,Warner Bros.,Tim Burton,"An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection.",Johnny Depp,A,Michelle Pfeiffer,A,Helena Bonham Carter,A,150000000.0,79727149.0,245527149.0,6.2,234853,512.0,55.0,532.0,6.1,135697.0,6.3,59494.0,6.4,148.0,6.2,70948.0,6.1,94133.0,6.3,21613.0,108780,110947,15126,0.46,0
Cosmopolis,2012,Canada, France, Portugal,English,109,Crime, Drama, Fantasy,Alfama Films,David Cronenberg,"Riding across Manhattan in a stretch limo in order to get a haircut, a 28-year-old billionaire asset manager's day devolves into an odyssey with a cast of characters that start to tear his world apart.",Robert Pattinson,A,Sarah Gadon,D,Paul Giamatti,D,20500000.0,763556.0,6063556.0,5.0,42457,213.0,58.0,375.0,5.1,28973.0,4.8,7990.0,6.9,8.0,5.3,8982.0,5.0,21626.0,4.8,5483.0,12917,17996,11544,0.3,0
Anna,2013,Spain, USA, UK,English,99,Drama, Mystery, Sci-Fi,The Safran Company,Jorge Dorado,"A man with the ability to enter people's memories takes on the case of a brilliant, troubled sixteen-year-old girl to determine whether she is a sociopath or a victim of trauma.",Mark Strong,C,Saskia Reeves,D,Richard Dillane,D,7000000.0,4288.0,1257142.0,6.5,20272,63.0,42.0,75.0,6.4,12173.0,6.6,4621.0,7.0,7.0,6.8,4265.0,6.4,8638.0,6.3,3125.0,11289,8341,642,0.56,0
Only Lovers Left Alive,2013,UK, Germany, Greece,"English, French, Arabic, Turkish",123,Comedy, Drama, Fantasy,Recorded Picture Company (RPC),Jim Jarmusch,"A depressed musician reunites with his lover. Though their romance, which has already endured several centuries, is disrupted by the arrival of her uncontrollable younger sister.",Tilda Swinton,A,Tom Hiddleston,A,Anton Yelchin,C,7000000.0,1879534.0,7609187.0,7.3,83398,225.0,79.0,391.0,7.2,45093.0,7.5,23420.0,7.2,29.0,7.5,22807.0,7.2,35114.0,6.9,8319.0,63268,16610,3520,0.76,1
Snitch,2013,USA, United Arab Emirates, UK,"English, Spanish",112,Action, Drama, Thriller,Exclusive Media Group,Ric Roman Waugh,"A father goes undercover for the DEA in order to free his son, who was imprisoned after being set up in a drug deal.",Dwayne Johnson,A,Barry Pepper,D,Jon Bernthal,D,15000000.0,42930462.0,57824674.0,6.4,79391,141.0,51.0,245.0,6.4,59106.0,6.5,7467.0,6.5,270.0,6.6,19075.0,6.4,34564.0,6.4,8697.0,43418,33441,2532,0.55,0
World War Z,2013,USA, UK, Malta,"English, Spanish, Hebrew, Arabic",116,Action, Adventure, Horror,Paramount Pictures,Marc Forster,"Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.",Brad Pitt,A,Mireille Enos,D,Daniella Kertesz,D,190000000.0,202359711.0,540007876.0,7.0,565117,1070.0,63.0,666.0,6.9,377811.0,7.1,69374.0,7.1,445.0,7.1,156275.0,6.9,211298.0,6.9,45730.0,397963,147958,19196,0.7,1
Saving Mr. Banks,2013,USA, UK, Australia,English,125,Biography, Comedy, Drama,Walt Disney Pictures,John Lee Hancock,Author,Emma Thompson,A,Tom Hanks,A,Annie Rose Buckley,D,35000000.0,83301580.0,117867984.0,7.5,143615,338.0,65.0,423.0,7.4,82660.0,7.7,34118.0,7.8,83.0,7.6,36798.0,7.4,55376.0,7.5,18048.0,120057,21514,2044,0.84,1
The Bling Ring,2013,USA, UK, France,English,90,Biography, Crime, Drama,American Zoetrope,Sofia Coppola,"Inspired by actual events, a group of fame-obsessed teenagers use the internet to track celebrities' whereabouts in order to rob their homes.",Katie Chang,D,Israel Broussard,D,Emma Watson,A,8000000.0,5845732.0,19145732.0,5.6,78746,184.0,66.0,345.0,5.5,42228.0,5.6,23061.0,5.4,23.0,5.6,28312.0,5.5,28832.0,5.5,5480.0,23100,45414,10232,0.29,0
Despicable Me 2,2013,USA, France, Japan,"English, Ukrainian",98,Animation, Adventure, Comedy,Universal Pictures,"Pierre Coffin, Chris Renaud","When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",Steve Carell,A,Kristen Wiig,A,Benjamin Bratt,C,76000000.0,368065385.0,970766005.0,7.3,351169,304.0,62.0,318.0,7.3,202018.0,7.6,70603.0,6.8,588.0,7.5,112934.0,7.3,115355.0,7.4,22019.0,281952,63066,6151,0.8,1
Rush,2013,UK, Germany, USA,"English, German, Italian, French, Spanish",123,Biography, Drama, Sport,Exclusive Media Group,Ron Howard,The merciless 1970s rivalry between Formula One rivals,Chris Hemsworth,A,Daniel Brühl,D,Olivia Wilde,D,38000000.0,26947624.0,92006038.0,8.1,402480,541.0,75.0,419.0,8.1,276832.0,8.0,39289.0,8.1,210.0,8.3,120980.0,8.0,145139.0,7.8,28877.0,373198,25709,3573,0.93,1
Furious 6,2013,USA, Japan, Spain,"English, Spanish, Russian, Japanese, Cantonese, Dutch",130,Action, Adventure, Thriller,Universal Pictures,Justin Lin,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.",Vin Diesel,A,Paul Walker,A,Dwayne Johnson,A,160000000.0,238679850.0,788679850.0,7.1,352646,478.0,61.0,424.0,7.0,242955.0,7.5,37934.0,7.3,334.0,7.3,119458.0,6.9,118400.0,6.8,18366.0,259820,78951,13875,0.74,1
Trance,2013,UK, USA, France,"English, French",101,Crime, Drama, Mystery,Pathé,Danny Boyle,An art auctioneer becomes mixed up with a group of criminals partners with a hypnotherapist in order to recover a lost painting.,James McAvoy,A,Vincent Cassel,D,Rosario Dawson,D,20000000.0,2328743.0,24261569.0,6.9,106312,229.0,61.0,401.0,6.9,75871.0,7.1,15544.0,6.7,17.0,7.2,26705.0,6.9,50048.0,6.7,11086.0,73693,29220,3399,0.69,1
Borgman,2013,Netherlands, Belgium, Denmark,"Dutch, English",113,Drama, Horror, Mystery,Graniet Film BV,Alex van Warmerdam,"A vagrant enters the lives of an arrogant upper-class family, turning their lives into a psychological nightmare in the process.",Jan Bijvoet,D,Hadewych Minis,D,Jeroen Perceval,D,3410000.0000000005,57474.0,1009474.0,6.8,14984,65.0,66.0,180.0,6.7,10859.0,6.8,2096.0,6.3,3.0,6.9,2844.0,6.7,7329.0,6.6,2434.0,9461,4410,1113,0.63,1
The Fifth Estate,2013,USA, India, Belgium,"English, Icelandic, Swahili, Arabic",128,Biography, Drama, Thriller,DreamWorks,Bill Condon,A dramatic thriller based on real events that reveals the quest to expose the deceptions and corruptions of power that turned an Internet upstart into the 21st century's most fiercely debated organization.,Peter Capaldi,D,David Thewlis,D,Anatole Taubman,D,28000000.0,3255008.0,8555008.0,6.2,36961,117.0,49.0,225.0,6.1,23623.0,6.3,7051.0,7.1,10.0,6.3,9246.0,6.1,15423.0,6.2,4624.0,16855,17568,2538,0.46,0
The World's End,2013,UK, USA, Japan,English,109,Action, Comedy, Sci-Fi,Universal Pictures,Edgar Wright,Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.,Thomas Law,D,Zachary Bailess,D,Jasper Levine,D,20000000.0,26004851.0,46089287.0,7.0,242716,467.0,81.0,447.0,6.9,169276.0,6.9,26068.0,7.8,234.0,7.2,68391.0,6.8,95339.0,6.7,21331.0,165064,69069,8583,0.68,1
Diana,2013,UK, France, Sweden,English,113,Biography, Drama, Romance,Ecosse Films,Oliver Hirschbiegel,"During the last two years of her life, Princess Diana embarks on a final rite of passage: a secret love affair with Pakistani heart surgeon Hasnat Khan.",Naomi Watts,C,Cas Anvar,D,Charles Edwards,D,15000000.0,335359.0,21766271.0,5.5,17964,90.0,35.0,150.0,5.4,9013.0,5.7,6080.0,6.0,4.0,5.7,3898.0,5.5,7894.0,5.4,2559.0,5837,9542,2585,0.32,0
Walking with Dinosaurs 3D,2013,USA, UK, Australia,English,87,Animation, Adventure, Family,Animal Logic,"Barry Cook, Neil Nightingale","See and feel what it was like when dinosaurs ruled the Earth, in a story where an underdog dino triumphs to become a hero for the ages.",Charlie Rowe,D,Karl Urban,B,Angourie Rice,D,80000000.0,36076121.0,126546518.0,5.2,10249,76.0,37.0,114.0,5.2,6786.0,5.4,1591.0,4.0,16.0,5.2,2460.0,5.2,3883.0,5.3,1436.0,2940,5379,1930,0.29,0
The Railway Man,2013,Switzerland, UK, Australia,"English, Japanese",116,Biography, Drama, Romance,Archer Street Productions,Jonathan Teplitzky,"A former British Army officer, who was tortured as a prisoner of war at a Japanese labor camp during World War II, discovers that the man responsible for much of his treatment is still alive and sets out to confront him.",Jeremy Irvine,D,Colin Firth,A,Stellan Skarsgård,C,18000000.0,4438438.0,22320893.0,7.1,35225,137.0,59.0,187.0,7.0,22271.0,7.2,6954.0,7.6,8.0,7.2,6498.0,7.0,14027.0,7.2,7347.0,26645,7810,770,0.76,1
Inside Llewyn Davis,2013,USA, UK, France,English,104,Comedy, Drama, Music,CBS Films,"Ethan Coen, Joel Coen",A week in the life of a young singer as he navigates the Greenwich Village folk scene of 1961.,Oscar Isaac,A,Carey Mulligan,D,Justin Timberlake,C,11000000.0,13235319.0,32960249.0,7.5,126891,370.0,93.0,530.0,7.5,84925.0,7.2,17826.0,8.7,70.0,7.8,36527.0,7.3,48472.0,7.0,13492.0,99797,23980,3114,0.79,1
The Smurfs 2,2013,USA, France, Canada,"English, French",105,Animation, Adventure, Comedy,Columbia Pictures,Raja Gosnell,"The Smurfs team up with their human friends to rescue Smurfette, who has been abducted by Gargamel, since she knows a secret spell that can turn the evil sorcerer's newest creation, creatures called ""The Naughties"", into real Smurfs.",Hank Azaria,D,Neil Patrick Harris,D,Brendan Gleeson,D,105000000.0,71017784.0,347545360.0,5.3,35128,68.0,34.0,130.0,5.2,20667.0,5.8,6854.0,4.5,131.0,5.4,10842.0,5.3,11721.0,5.3,2679.0,11408,18005,5715,0.32,0
